sName,Level of Identity,Level of Skills,Level of Knowledge,Context of Performance,Personal Factors,Fixed Factors,Avg_Identity,Avg_Skills,Avg_Knowledge,Avg_cPerfromance,Avg_pFactors,Avg_fFactors,Overall,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,GWA
John Pierce,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 2}",2.5,3.5,2.0,2.5,2.5,2.75,2.62,1.0,3.0,2.25,1.25,2.0,2.0,2.5,2.0,2.0
Shane Henderson,"{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 2}",2.5,1.25,3.25,1.5,3.0,2.5,2.33,1.5,2.75,2.5,2.0,1.5,1.5,2.25,2.5,2.06
Joshua Blair,"{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 2}",1.75,1.75,3.0,3.0,2.5,3.0,2.5,2.25,1.0,3.0,3.0,1.75,1.0,1.0,1.25,1.78
Eric Carney,"{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 3}",3.0,2.75,3.0,2.75,2.75,2.75,2.83,1.75,1.75,1.25,1.75,1.0,2.25,1.75,1.0,1.56
Jessica Holmes,"{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 1}",3.75,2.25,2.75,2.25,2.0,1.5,2.42,1.75,1.5,1.0,2.5,2.75,1.5,3.0,1.0,1.88
Danny Morgan,"{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 3}",1.5,3.0,2.25,1.75,2.25,2.75,2.25,1.25,1.0,1.25,1.25,1.0,2.25,2.5,1.5,1.5
Crystal Robinson,"{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 1}",2.75,2.75,1.75,3.0,3.0,1.25,2.42,1.5,2.5,1.25,3.0,2.75,1.75,2.5,2.25,2.19
Mark Perez,"{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}",2.0,2.5,3.25,2.75,3.5,3.0,2.83,3.0,2.25,2.25,2.25,2.75,2.25,2.0,2.0,2.34
Shannon Jones,"{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 4}",1.25,2.25,1.75,3.25,3.0,2.75,2.38,2.25,1.5,2.0,1.5,2.25,1.5,2.5,2.0,1.94
Michael Lewis,"{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 2}",2.75,2.25,3.0,2.25,2.25,2.75,2.54,2.25,2.5,1.25,1.25,2.0,1.0,2.0,2.75,1.88
Timothy Duncan,"{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 3}",3.5,2.5,2.0,2.75,2.25,2.0,2.5,1.25,2.0,2.5,2.0,1.75,2.75,1.25,1.5,1.88
Richard Aguirre,"{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}",3.0,2.75,3.5,2.0,3.0,3.0,2.88,2.5,1.75,2.5,2.0,2.0,1.5,2.25,1.5,2.0
Brent Jordan,"{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 1}",3.75,1.25,2.75,2.0,2.5,2.0,2.38,1.25,1.0,1.25,1.0,2.5,,2.25,1.5,2.09
John Daniel,"{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}",2.75,2.75,2.75,2.75,2.0,2.0,2.5,1.75,1.0,2.25,3.0,3.0,1.5,2.75,3.0,2.28
Victoria Garcia,"{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 4}",2.75,2.5,2.75,3.5,3.0,3.0,2.92,3.0,2.75,2.5,3.0,1.75,3.0,1.25,2.5,2.47
Gerald Hensley,"{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 4}",2.5,2.25,3.0,1.5,2.5,3.25,2.5,2.25,3.0,1.25,1.75,2.75,3.0,2.25,1.25,2.19
Connor West,"{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 3}",2.0,2.0,1.75,2.25,1.25,2.25,1.92,2.0,2.0,2.75,1.25,2.25,1.0,1.0,2.75,1.88
Donald Wright,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}",2.75,2.5,3.5,1.75,1.75,2.0,2.38,2.25,2.75,3.0,2.75,1.5,2.25,3.0,1.75,2.41
Jessica Callahan,"{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 3}",3.0,3.25,2.5,2.5,2.75,3.0,2.83,2.75,2.0,1.25,2.0,1.75,1.75,1.25,2.5,1.91
Amber Kidd,"{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 1}",2.75,3.0,2.25,2.25,2.75,2.25,2.54,2.5,1.25,1.0,2.5,1.25,2.75,1.0,2.75,1.88
Tracy House,"{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 4}",2.5,2.75,1.75,2.5,2.25,3.5,2.54,1.25,1.25,1.5,2.0,1.0,2.25,1.5,1.0,1.47
Carol Tucker,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 4}",2.25,2.75,1.5,2.5,2.75,2.75,2.42,1.0,1.5,2.25,1.5,1.25,3.0,1.25,1.25,1.62
James Brown,"{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 2}",3.25,1.5,3.25,2.0,2.5,3.0,2.58,1.5,3.0,3.0,2.75,3.0,1.25,2.25,1.0,2.22
William Baker,"{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 3}",2.75,2.25,2.5,2.5,2.0,2.75,2.46,1.5,2.75,1.75,3.0,1.5,2.25,1.75,1.0,1.94
Jordan Henderson,"{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 1}",2.5,2.25,2.0,1.5,2.25,1.75,2.04,1.25,2.75,2.5,1.5,2.5,2.5,2.5,2.25,2.22
Whitney Peters,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 3}",2.75,2.25,3.5,3.25,2.75,3.0,2.92,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.5,2.19
Brittney Phillips,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 4}",2.75,2.75,2.25,2.5,3.0,3.5,2.79,2.75,1.25,2.25,1.75,1.25,1.0,2.75,1.0,1.75
Lauren Daniels,"{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 2}",2.5,2.75,2.75,3.25,3.25,2.25,2.79,1.5,1.5,2.25,3.0,1.5,2.5,2.5,2.5,2.16
Amy Silva,"{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 3}",2.5,2.25,2.5,3.0,3.25,2.75,2.71,2.25,1.25,1.25,2.0,1.75,1.75,1.0,1.75,1.62
Sarah Moore,"{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 1}",3.25,2.5,3.0,2.25,1.5,2.25,2.46,1.75,2.5,2.5,2.75,1.75,1.75,1.25,1.5,1.97
Angela Lopez,"{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 1}",2.75,2.75,2.0,2.5,2.0,3.0,2.5,3.0,2.75,2.75,2.75,2.0,2.0,1.25,1.25,2.22
Megan Young,"{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 4}",2.5,2.75,2.75,1.75,2.75,3.25,2.62,1.75,1.75,2.25,1.5,1.25,2.25,1.5,2.75,1.88
Steve Sanchez,"{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 3}",3.0,2.0,2.25,2.0,2.0,2.25,2.25,1.5,2.25,1.25,2.5,1.75,2.25,2.25,1.0,1.84
Lisa Barnes,"{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 2}",2.5,1.5,2.0,2.75,2.25,1.75,2.12,1.5,1.25,3.0,1.75,1.5,3.0,2.0,2.0,2.0
Kelly Donovan,"{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 3}",2.75,3.0,2.5,3.0,2.75,2.75,2.79,2.0,3.0,2.5,3.0,1.75,1.75,1.5,1.5,2.12
Mike Allen,"{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 1}",2.0,2.25,2.0,3.0,2.5,2.5,2.38,1.5,2.75,1.5,2.0,1.5,2.5,1.25,2.75,1.97
Michael Evans,"{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 3}",3.0,3.0,2.0,2.75,2.25,1.75,2.46,2.0,3.0,1.75,2.75,2.25,2.0,3.0,2.5,2.41
Paul Jones,"{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 2}",2.0,2.0,2.75,2.75,2.0,2.5,2.33,3.0,2.75,1.75,1.5,2.5,2.0,1.5,1.5,2.06
Zachary Ferrell,"{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 2}",2.5,2.25,2.25,2.25,1.75,2.0,2.17,1.75,2.75,2.0,1.5,2.25,1.75,1.5,2.25,1.97
Daniel Baker,"{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}",2.5,2.5,1.5,1.25,2.0,2.5,2.04,1.25,1.0,1.5,2.0,1.0,2.25,2.5,2.25,1.72
Shirley Suarez,"{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 1}",2.5,2.75,2.0,2.0,1.75,2.0,2.17,5.0,2.5,2.75,,1.0,1.5,2.5,1.5,2.72
Christopher Bass,"{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 2}",2.75,2.25,2.25,2.75,3.0,2.0,2.5,2.0,1.5,2.75,2.0,2.25,1.25,2.25,1.5,1.94
Lisa Archer,"{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 4}",2.75,3.25,1.5,2.25,2.0,3.0,2.46,1.0,3.0,1.25,1.25,1.5,2.5,2.5,1.25,1.78
Aimee Montoya,"{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 1}",2.25,3.0,2.0,2.5,2.75,2.25,2.46,1.0,2.75,3.0,2.0,2.5,2.0,2.25,2.25,2.22
Matthew Mcmillan,"{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 3}",2.25,2.5,2.5,2.25,2.0,2.0,2.25,1.25,2.75,2.25,1.5,2.25,1.75,1.25,1.25,1.78
Brian Rodriguez,"{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 4}",2.75,2.75,2.75,2.75,1.75,2.25,2.5,2.25,2.75,2.75,2.0,3.0,2.0,1.5,1.5,2.22
