Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Status,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Donna Estrada,2,23336898,1.75,1.25,1.0,2.75,3.0,Regular,3.0,2.0,4.0,2.37,0,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree
Michael Becker,4,21533537,5.0,2.75,1.75,1.0,2.25,Irregular,,,,2.55,1,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree
Karen Clements,1,24451751,5.0,1.0,2.75,2.5,2.25,Irregular,,,,2.54,1,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Bradley Rivera,4,21004534,2.5,3.0,1.5,1.5,2.25,Regular,,,,2.15,0,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree
Steven Conley,1,24690950,2.5,2.5,1.0,2.25,1.0,Regular,,,,1.8,0,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
Mark Harris,1,24761320,2.25,1.25,2.25,4.0,3.0,Regular,,,,2.57,0,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree
Jennifer Brown,4,21518314,1.75,2.75,2.75,4.0,2.25,Regular,,,,2.7,0,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree
Angela Shannon,1,24713579,2.5,2.0,5.0,1.5,2.75,Irregular,,,,2.77,1,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
Lisa Sanchez,4,21855164,2.75,1.5,2.0,4.0,4.0,Regular,,,,2.85,0,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree
Amanda Rodriguez,2,23596791,2.0,4.0,1.75,1.0,2.25,Regular,2.0,1.0,2.0,2.0,0,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree
Benjamin Russo,1,24316436,3.0,2.75,4.0,1.25,4.0,Regular,,,,3.0,0,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
Rhonda Sandoval,4,21298152,3.0,2.5,1.5,1.0,2.5,Regular,,,,2.1,0,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree
Donald Franklin,1,24730856,3.0,5.0,2.0,4.0,3.0,Irregular,,,,3.43,1,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree
Lori Morris,3,22276278,1.0,5.0,2.0,4.0,3.0,Irregular,2.75,2.0,,2.82,1,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree
Jennifer Burton,1,24170604,5.0,1.5,1.25,1.5,2.0,Irregular,,,,2.05,1,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree
Mary Stevens,4,21425346,1.5,1.25,1.0,1.25,2.25,Regular,,,,1.45,0,Agree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree
Christina Kim,3,22896154,1.5,1.0,1.5,3.0,1.0,Regular,3.0,4.0,,2.14,0,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree
Kari Smith,3,22258778,5.0,5.0,2.25,2.0,2.0,Irregular,2.0,1.75,,2.86,2,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree
Brittney Johnson,1,24920860,2.0,2.0,1.5,1.0,2.5,Regular,,,,1.79,0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Patricia Rodriguez,1,24941280,4.0,2.25,3.0,1.0,2.0,Regular,,,,2.34,0,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree
Joel Martinez,4,21367822,2.5,5.0,3.0,2.25,2.0,Irregular,,,,2.95,1,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Darlene Holt,4,21831238,5.0,1.25,2.75,2.25,2.75,Irregular,,,,2.8,1,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree
Kelly Hall,3,22112447,3.0,2.75,1.75,2.75,1.5,Regular,2.0,2.0,,2.25,0,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Alexandra Edwards,3,22807505,4.0,3.0,1.0,1.5,2.75,Irregular,1.25,5.0,,2.64,1,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
Brandon Smith,1,24104193,1.0,1.0,4.0,1.75,2.25,Regular,,,,2.07,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree
Andrea Wilson,3,22904630,5.0,4.0,1.5,1.5,2.25,Irregular,1.75,2.0,,2.57,1,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree
Michael Harris,1,24359973,1.25,1.75,5.0,3.0,2.0,Irregular,,,,2.7,1,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree
Kristin Glass,3,22504170,2.75,1.5,2.5,1.75,2.5,Regular,2.5,2.0,,2.21,0,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree
Wendy Howard,2,23593466,1.0,2.25,3.0,1.25,2.25,Irregular,3.0,1.75,5.0,2.5,1,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree
Erica Campbell,4,21047461,2.0,1.0,1.0,1.0,1.25,Regular,,,,1.25,0,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree
Alexander Cummings,1,24076533,2.75,3.0,2.5,3.0,2.75,Regular,,,,2.8,0,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree
Lonnie Brown,4,21619299,2.75,1.5,2.25,1.75,2.25,Regular,,,,2.1,0,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree
David Landry,3,22632031,5.0,1.5,2.75,1.5,5.0,Irregular,5.0,2.0,,3.25,3,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree
Herbert Parker,1,24609075,1.5,2.25,1.5,1.25,2.75,Regular,,,,1.88,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree
Mathew Turner,2,23341600,4.0,3.0,1.5,2.0,5.0,Irregular,2.5,3.0,1.0,2.7,1,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree
Erik Gomez,3,22653243,2.75,3.0,2.0,2.5,1.75,Irregular,5.0,5.0,,3.14,2,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree
Cindy Martinez,4,21004710,3.0,2.75,1.0,1.75,2.75,Regular,,,,2.25,0,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree
Kelly Campbell,3,22393758,1.5,2.25,3.0,2.0,1.0,Regular,1.5,1.5,,1.82,0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree
Hunter Yu,2,23808481,1.25,1.5,5.0,2.25,1.0,Irregular,5.0,2.75,1.0,2.52,2,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree
Jill Hamilton,4,21749142,4.0,2.0,2.75,1.75,2.5,Regular,,,,2.6,0,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree
Michael Griffith,2,23557619,2.0,3.0,2.25,1.0,2.0,Irregular,2.25,1.25,5.0,2.36,1,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree
Mario Garcia,1,24702774,2.5,2.75,1.75,2.5,5.0,Irregular,,,,2.93,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree
Dylan Robles,3,22666408,1.25,1.25,2.75,3.0,5.0,Irregular,1.5,5.0,,2.82,2,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree
Kayla Kim,4,21096990,2.5,2.0,1.75,2.5,2.5,Regular,,,,2.25,0,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
Karen Scott,1,24024758,2.5,3.0,2.25,2.5,2.5,Regular,,,,2.55,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree
Rebecca Hughes,2,23318551,2.5,4.0,1.75,4.0,2.75,Regular,1.25,3.0,2.25,2.7,0,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
Timothy Smith,1,24027562,3.0,2.5,2.75,1.25,2.5,Regular,,,,2.36,0,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree
Caroline Lee,2,23500012,5.0,4.0,2.0,2.75,2.25,Irregular,3.0,1.25,1.25,2.59,1,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree
Marcus Flores,3,22981149,3.0,2.5,2.25,1.25,1.5,Irregular,5.0,1.75,,2.46,1,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree
Kayla Mora,2,23821098,2.0,5.0,1.25,2.0,2.0,Irregular,1.5,1.0,1.0,1.97,1,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree
Debra Schultz,4,21934054,1.0,4.0,2.5,5.0,1.0,Irregular,,,,2.7,1,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree
Elizabeth Ramsey,1,24966200,2.5,1.5,1.5,1.25,1.75,Regular,,,,1.64,0,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree
William Russo,1,24721918,1.0,1.0,2.0,5.0,1.5,Irregular,,,,2.18,1,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree
Michael Anderson,1,24719310,4.0,4.0,2.25,3.0,3.0,Regular,,,,3.2,0,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree
Jodi Reese MD,1,24872042,3.0,2.5,4.0,5.0,3.0,Irregular,,,,3.54,1,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree
Alyssa Lloyd,3,22885316,3.0,1.75,1.5,2.75,2.25,Regular,2.0,2.5,,2.25,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree
Christopher Alexander,2,23848283,1.25,1.0,1.5,4.0,1.5,Irregular,5.0,1.25,1.25,2.13,1,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree
Amber Jackson,4,21615479,3.0,1.25,2.25,2.0,5.0,Irregular,,,,2.7,1,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree
Joshua Graves,2,23646644,2.25,1.5,5.0,5.0,5.0,Irregular,1.25,1.25,5.0,3.33,4,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree
Rodney Ward,1,24127501,3.0,3.0,3.0,1.5,2.5,Regular,,,,2.57,0,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree
Jacqueline West MD,4,21450790,1.0,3.0,5.0,1.5,2.25,Irregular,,,,2.55,1,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree
Timothy Garza,4,21505853,5.0,3.0,1.0,3.0,4.0,Irregular,,,,3.2,1,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree
Brittany Tucker,4,21284980,1.0,1.75,1.5,1.25,1.75,Regular,,,,1.45,0,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree
Devon Foster,3,22549039,2.25,2.75,1.5,1.75,1.5,Irregular,2.25,5.0,,2.43,1,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree
Judith Hale,2,23096570,2.25,4.0,1.75,2.25,3.0,Regular,1.25,2.25,2.75,2.45,0,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
Leslie Lloyd DVM,4,21130190,1.0,1.5,2.5,3.0,4.0,Regular,,,,2.4,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree
Hannah Monroe,1,24827076,2.25,1.0,2.25,5.0,3.0,Irregular,,,,2.73,1,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
Alicia Weiss,2,23049145,2.0,2.25,1.25,3.0,1.25,Irregular,5.0,5.0,4.0,3.01,2,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree
Stephanie Rogers,1,24307480,1.0,4.0,2.25,1.0,1.0,Regular,,,,1.91,0,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree
Samantha Wallace,3,22141645,1.5,1.5,1.75,3.0,2.0,Regular,2.5,1.0,,1.89,0,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree
Jane Mccall,3,22627794,3.0,4.0,1.0,3.0,1.25,Regular,1.25,1.75,,2.18,0,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree
Dana Patterson,3,22719942,1.5,2.75,3.0,4.0,1.25,Regular,3.0,1.0,,2.36,0,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree
Jamie Murphy,3,22440633,4.0,1.25,4.0,2.25,1.0,Irregular,2.75,5.0,,2.89,1,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree
Emma Freeman,2,23267851,1.5,2.75,1.0,4.0,4.0,Irregular,5.0,1.25,1.5,2.67,1,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
Fernando Wilson,4,21011472,4.0,2.0,1.5,1.5,4.0,Regular,,,,2.6,0,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree
Mr. James Johnson,3,22176045,5.0,2.0,1.5,1.0,2.75,Irregular,2.75,1.5,,2.36,1,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree
Christine Smith DDS,1,24576253,2.25,1.5,1.25,2.5,1.5,Regular,,,,1.77,0,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree
Kenneth Gentry,2,23796898,1.0,2.0,1.5,1.25,5.0,Irregular,4.0,2.5,1.25,2.37,1,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
John Conley,4,21694751,2.75,4.0,1.75,1.0,2.75,Regular,,,,2.45,0,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree
Carlos Brown,3,22887000,2.0,2.25,5.0,1.75,1.5,Irregular,1.25,1.25,,2.14,1,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree
Pamela Simmons,3,22513187,2.25,1.0,1.25,4.0,1.0,Regular,2.5,1.0,,1.86,0,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree
William Wright,1,24474133,5.0,5.0,5.0,2.0,5.0,Irregular,,,,4.36,4,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree
