Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Bradley Rivera,4,21004534,2.5,2.25,4.0,1.0,2.75,,,,2.5,0,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree
Steven Conley,1,24690950,2.0,1.75,1.25,3.0,1.75,,,,1.95,0,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree
Mark Harris,1,24761320,2.25,2.5,1.5,2.0,1.25,,,,1.88,0,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree
Jennifer Brown,4,21518314,2.75,1.5,1.5,4.0,5.0,,,,2.95,1,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree
Angela Shannon,1,24713579,1.5,1.25,1.5,1.5,5.0,,,,2.2,1,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree
Lisa Sanchez,4,21855164,2.25,2.25,1.25,3.0,1.75,,,,2.1,0,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Amanda Rodriguez,2,23596791,3.0,1.25,5.0,1.5,2.0,1.0,5.0,4.0,2.84,2,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Benjamin Russo,1,24316436,4.0,3.0,2.75,3.0,2.75,,,,3.04,0,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
Rhonda Sandoval,4,21298152,1.25,2.25,2.5,2.0,2.0,,,,2.0,0,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree
Donald Franklin,1,24730856,3.0,2.0,2.5,2.5,5.0,,,,3.0,1,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree
Lori Morris,3,22276278,1.25,1.75,2.0,2.0,5.0,2.5,2.0,,2.36,1,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree
Jennifer Burton,1,24170604,1.25,2.5,1.25,5.0,1.25,,,,2.32,1,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree
Mary Stevens,4,21425346,2.0,1.75,2.75,1.25,3.0,,,,2.15,0,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree
Christina Kim,3,22896154,2.25,3.0,3.0,2.5,3.0,2.75,1.25,,2.54,0,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree
Kari Smith,3,22258778,1.0,2.25,2.75,2.75,1.0,2.5,1.75,,2.0,0,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree
Brittney Johnson,1,24920860,5.0,1.25,3.0,1.0,1.5,,,,2.16,1,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Patricia Rodriguez,1,24941280,2.0,1.75,2.25,1.0,2.5,,,,1.89,0,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree
Joel Martinez,4,21367822,2.5,3.0,2.5,1.25,3.0,,,,2.45,0,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree
Darlene Holt,4,21831238,2.25,2.0,2.5,4.0,1.5,,,,2.45,0,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
Kelly Hall,3,22112447,1.5,2.75,1.5,2.5,2.75,5.0,2.25,,2.61,1,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
Alexandra Edwards,3,22807505,2.25,2.0,1.5,5.0,1.5,5.0,1.0,,2.61,2,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Brandon Smith,1,24104193,1.0,1.25,2.5,2.0,1.25,,,,1.64,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree
Andrea Wilson,3,22904630,1.5,2.25,2.75,2.0,1.75,2.5,4.0,,2.39,0,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
Michael Harris,1,24359973,1.5,1.25,5.0,1.25,5.0,,,,2.89,2,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree
Kristin Glass,3,22504170,4.0,1.75,1.5,2.0,5.0,1.5,3.0,,2.68,1,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree
Wendy Howard,2,23593466,1.5,2.25,2.75,4.0,3.0,1.75,5.0,2.25,2.87,1,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree
Erica Campbell,4,21047461,4.0,1.0,2.0,5.0,2.5,,,,2.9,1,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree
Alexander Cummings,1,24076533,2.25,5.0,1.0,1.5,1.5,,,,2.25,1,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree
Lonnie Brown,4,21619299,5.0,1.75,4.0,1.75,2.75,,,,3.05,1,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree
David Landry,3,22632031,2.75,2.75,4.0,2.25,2.5,1.0,1.75,,2.43,0,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree
Herbert Parker,1,24609075,3.0,2.25,2.25,2.5,2.75,,,,2.52,0,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree
Mathew Turner,2,23341600,1.0,2.75,1.75,2.5,2.75,2.75,1.0,2.75,2.21,0,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree
Erik Gomez,3,22653243,1.5,3.0,1.5,4.0,1.0,2.5,1.25,,2.11,0,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree
Cindy Martinez,4,21004710,2.5,1.0,1.75,5.0,3.0,,,,2.65,1,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree
Kelly Campbell,3,22393758,5.0,2.25,1.5,2.75,1.5,2.75,1.25,,2.43,1,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree
Hunter Yu,2,23808481,2.25,4.0,1.5,2.75,2.0,3.0,5.0,5.0,3.23,2,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Jill Hamilton,4,21749142,1.5,3.0,2.0,2.5,1.25,,,,2.05,0,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree
Michael Griffith,2,23557619,4.0,2.25,2.25,5.0,2.0,1.75,4.0,1.0,2.73,1,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree
Mario Garcia,1,24702774,1.75,1.25,2.0,2.5,5.0,,,,2.55,1,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree
Dylan Robles,3,22666408,4.0,2.25,5.0,1.25,1.75,1.25,4.0,,2.79,1,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Agree
Kayla Kim,4,21096990,2.75,4.0,3.0,2.25,2.0,,,,2.8,0,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Karen Scott,1,24024758,5.0,4.0,2.0,1.0,1.75,,,,2.59,1,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Rebecca Hughes,2,23318551,3.0,2.75,4.0,1.25,1.0,2.25,2.75,4.0,2.61,0,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
Timothy Smith,1,24027562,2.0,1.75,1.5,2.5,2.0,,,,1.95,0,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree
Caroline Lee,2,23500012,5.0,3.0,2.75,1.25,2.25,2.5,5.0,3.0,3.01,2,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
Marcus Flores,3,22981149,4.0,2.5,1.25,5.0,3.0,2.25,2.25,,2.89,1,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Kayla Mora,2,23821098,4.0,1.5,2.25,1.25,1.5,1.75,5.0,2.0,2.34,1,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree
Debra Schultz,4,21934054,3.0,1.75,1.75,1.75,4.0,,,,2.45,0,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree
Elizabeth Ramsey,1,24966200,1.0,5.0,1.75,5.0,1.25,,,,2.93,2,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree
William Russo,1,24721918,4.0,2.25,2.0,1.75,1.5,,,,2.18,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree
Michael Anderson,1,24719310,1.75,1.0,5.0,3.0,2.25,,,,2.66,1,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree
Jodi Reese MD,1,24872042,2.75,1.5,2.5,2.25,5.0,,,,2.8,1,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree
Alyssa Lloyd,3,22885316,5.0,2.0,2.5,2.0,5.0,2.5,3.0,,3.14,2,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree
Christopher Alexander,2,23848283,5.0,2.0,3.0,1.75,3.0,1.5,1.5,2.75,2.46,1,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Amber Jackson,4,21615479,2.25,5.0,2.25,5.0,1.0,,,,3.1,2,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree
Joshua Graves,2,23646644,5.0,1.75,1.0,4.0,4.0,2.75,1.5,1.5,2.59,1,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree
Rodney Ward,1,24127501,1.0,1.25,2.75,2.75,4.0,,,,2.45,0,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Jacqueline West MD,4,21450790,1.25,2.5,2.5,1.75,3.0,,,,2.2,0,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree
Timothy Garza,4,21505853,2.5,1.75,3.0,2.25,5.0,,,,2.9,1,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree
Brittany Tucker,4,21284980,2.0,1.0,1.0,1.0,2.75,,,,1.55,0,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree
Devon Foster,3,22549039,2.5,1.5,1.75,1.5,2.5,2.5,2.75,,2.14,0,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree
Judith Hale,2,23096570,3.0,5.0,2.5,5.0,2.25,3.0,4.0,2.25,3.39,2,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree
Leslie Lloyd DVM,4,21130190,2.25,4.0,2.25,3.0,3.0,,,,2.9,0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree
Hannah Monroe,1,24827076,4.0,2.75,4.0,5.0,1.75,,,,3.46,1,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree
Alicia Weiss,2,23049145,2.75,2.25,2.25,2.75,1.0,2.0,1.0,2.25,2.0,0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree
Stephanie Rogers,1,24307480,5.0,1.75,2.25,2.0,2.25,,,,2.48,1,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree
Samantha Wallace,3,22141645,2.25,2.5,2.0,2.75,2.25,2.5,2.0,,2.32,0,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree
Jane Mccall,3,22627794,1.5,4.0,2.5,2.0,2.5,1.25,4.0,,2.54,0,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Dana Patterson,3,22719942,1.0,1.5,1.75,5.0,3.0,3.0,5.0,,2.89,2,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree
Jamie Murphy,3,22440633,2.5,1.75,3.0,2.0,2.5,1.0,4.0,,2.39,0,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
Emma Freeman,2,23267851,1.0,5.0,1.0,4.0,3.0,3.0,2.0,4.0,2.96,1,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree
Fernando Wilson,4,21011472,1.25,5.0,2.0,1.75,5.0,,,,3.0,2,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
Mr. James Johnson,3,22176045,1.0,2.5,5.0,2.75,1.75,1.75,2.0,,2.39,1,Strongly Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree
Christine Smith DDS,1,24576253,1.5,2.25,1.75,2.5,1.25,,,,1.88,0,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree
Kenneth Gentry,2,23796898,2.0,3.0,4.0,5.0,5.0,3.0,4.0,2.75,3.66,2,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree
John Conley,4,21694751,2.5,2.25,2.25,1.5,1.0,,,,1.9,0,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree
Carlos Brown,3,22887000,2.5,1.5,3.0,1.0,2.0,1.75,1.5,,1.89,0,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Pamela Simmons,3,22513187,3.0,1.25,1.5,2.75,2.25,2.5,2.0,,2.18,0,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree
William Wright,1,24474133,2.5,2.25,2.5,2.5,2.25,,,,2.39,0,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree
Rhonda Chavez,4,21575770,3.0,1.5,1.75,2.75,1.75,,,,2.15,0,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree
Erin Barrera,1,24799645,1.5,2.25,3.0,2.5,1.0,,,,2.09,0,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree
Loretta Franco,2,23401112,2.0,1.5,2.25,1.0,3.0,2.25,2.0,1.75,1.97,0,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree
Sharon Gomez,1,24760917,5.0,3.0,2.75,2.0,2.5,,,,2.91,1,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
