Student Name,Year Level,Student Number,Homework/Assignment,Time Allocation,Reading and Note-Taking,Study Period Procedure,Written Works,Examination Taking,Teachers Consultation
Jonathan Mcintyre,1,24557415,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']","['Agree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']"
David Keith,2,23758571,"['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Disagree']"
Kaylee Anderson,3,22576866,"['Agree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Elizabeth Todd,2,23638745,"['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Christian Steele,2,23047124,"['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Agree']"
James Gonzales,2,23431704,"['Strongly Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']"
John Wong,1,24305717,"['Agree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']","['Agree', 'Strongly Agree', 'Disagree']"
Michael Tucker,3,22944900,"['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']"
Donna Estrada,2,23095016,"['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Disagree', 'Disagree', 'Strongly Agree']"
Michael Becker,4,21138771,"['Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']"
Karen Clements,3,22754235,"['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']"
Bradley Rivera,2,23663539,"['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Steven Conley,2,23481147,"['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']"
Mark Harris,4,21067489,"['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']"
Jennifer Brown,2,23042759,"['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Angela Shannon,3,22635657,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']"
Lisa Sanchez,1,24948195,"['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']"
Amanda Rodriguez,3,22355815,"['Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Benjamin Russo,3,22799005,"['Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']"
Rhonda Sandoval,4,21473797,"['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Disagree']"
Donald Franklin,3,22252683,"['Strongly Agree', 'Agree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Agree']"
Lori Morris,2,23826902,"['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']"
Jennifer Burton,3,22416818,"['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']"
Mary Stevens,1,24845591,"['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Christina Kim,4,21788681,"['Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']"
Kari Smith,3,22870089,"['Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']"
Brittney Johnson,1,24074159,"['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Agree']"
Patricia Rodriguez,3,22695020,"['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Disagree']"
Joel Martinez,1,24521329,"['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Darlene Holt,2,23036341,"['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']"
Kelly Hall,4,21552204,"['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']"
Alexandra Edwards,3,22363857,"['Strongly Disagree', 'Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']"
Brandon Smith,1,24340794,"['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']"
Andrea Wilson,1,24898928,"['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Agree']"
Michael Harris,3,22366985,"['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']"
Kristin Glass,3,22660505,"['Strongly Agree', 'Disagree', 'Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']"
Wendy Howard,2,23124210,"['Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']"
Erica Campbell,1,24271009,"['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']"
Alexander Cummings,4,21253527,"['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Lonnie Brown,1,24709473,"['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']"
David Landry,1,24694758,"['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Agree']"
Herbert Parker,3,22461029,"['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']"
Mathew Turner,3,22702689,"['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']"
Erik Gomez,2,23709912,"['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']"
Cindy Martinez,1,24906042,"['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']"
Kelly Campbell,2,23826937,"['Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Agree']"
Hunter Yu,3,22866726,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Jill Hamilton,4,21360501,"['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Michael Griffith,3,22590791,"['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']"
Mario Garcia,3,22344493,"['Disagree', 'Disagree', 'Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Dylan Robles,1,24293907,"['Disagree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']"
Kayla Kim,4,21587686,"['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']"
Karen Scott,3,22345440,"['Strongly Agree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']"
Rebecca Hughes,4,21347947,"['Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Agree']"
Timothy Smith,1,24791116,"['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Agree']"
Caroline Lee,1,24483942,"['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']"
Marcus Flores,3,22870978,"['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']"
Kayla Mora,3,22907185,"['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']"
Debra Schultz,3,22506591,"['Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']"
Elizabeth Ramsey,4,21882749,"['Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
William Russo,4,21049044,"['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']"
Michael Anderson,1,24654221,"['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']"
Jodi Reese MD,3,22133267,"['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']"
Alyssa Lloyd,2,23574317,"['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']"
Christopher Alexander,4,21161431,"['Agree', 'Agree', 'Agree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']"
Amber Jackson,4,21148393,"['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']"
Joshua Graves,4,21172080,"['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']"
Rodney Ward,1,24790319,"['Strongly Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Jacqueline West MD,3,22338784,"['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Timothy Garza,2,23670029,"['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']"
Brittany Tucker,1,24341862,"['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
