Homework/Assignment Q1,Homework/Assignment Q2,Homework/Assignment Q3,Time Allocation Q1,Time Allocation Q2,Time Allocation Q3,Reading and Note-Taking Q1,Reading and Note-Taking Q2,Reading and Note-Taking Q3,Study Period Procedure Q1,Study Period Procedure Q2,Study Period Procedure Q3,Written Works Q1,Written Works Q2,Written Works Q3,Examination Taking Q1,Examination Taking Q2,Examination Taking Q3,Teachers Consultation Q1,Teachers Consultation Q2,Teachers Consultation Q3,Student Name,Student Number
Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Sara Johnston,24485807
Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Sara Johnston,24485807
Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Sara Johnston,24485807
Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Sara Johnston,24485807
Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Sara Johnston,24485807
Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Sara Johnston,24485807
Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Sara Johnston,24485807
Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Sara Johnston,24485807
Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Sara Johnston,24485807
Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Sara Johnston,24485807
Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Sara Johnston,24485807
Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Sara Johnston,24485807
Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Sara Johnston,24485807
Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Sara Johnston,24485807
Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Sara Johnston,24485807
Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Sara Johnston,24485807
Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Sara Johnston,24485807
Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Sara Johnston,24485807
Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Sara Johnston,24485807
Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Sara Johnston,24485807
Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Sara Johnston,24485807
Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Sara Johnston,24485807
Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Sara Johnston,24485807
Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Sara Johnston,24485807
Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Sara Johnston,24485807
Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Sara Johnston,24485807
Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Sara Johnston,24485807
Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Sara Johnston,24485807
Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Sara Johnston,24485807
Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sara Johnston,24485807
Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Sara Johnston,24485807
Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Sara Johnston,24485807
Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Sara Johnston,24485807
Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Sara Johnston,24485807
Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Sara Johnston,24485807
Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Sara Johnston,24485807
Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Sara Johnston,24485807
Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Sara Johnston,24485807
Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Sara Johnston,24485807
Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Sara Johnston,24485807
Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Sara Johnston,24485807
Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Sara Johnston,24485807
Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Sara Johnston,24485807
Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Sara Johnston,24485807
Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Sara Johnston,24485807
Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Sara Johnston,24485807
Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Sara Johnston,24485807
Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Sara Johnston,24485807
Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Sara Johnston,24485807
Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Sara Johnston,24485807
Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Sara Johnston,24485807
Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Sara Johnston,24485807
Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Sara Johnston,24485807
Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Sara Johnston,24485807
Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Sara Johnston,24485807
Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Sara Johnston,24485807
Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Sara Johnston,24485807
Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Sara Johnston,24485807
Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Sara Johnston,24485807
Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Sara Johnston,24485807
